Time (h),Temperature1 (degC), Temperature2 (degC), Temperature3 (degC), Temperature4 (degC), Temperature5 (degC), Temperature6 (degC), Temperature7 (degC), Temperature8 (degC), Temperature9 (degC), Temperature10 (degC), Temperature11 (degC), Temperature12 (degC), Temperature13 (degC), 
1254,22.21421075633407,22.895111024798723,24.79656466374462,24.290073351161993,24.86184919428723,24.521693623324836,22.46252921099432,22.003313113336162,24.663122091919263,25.68974421498592,25.762030649461394,26.495592595510175,22.98491119255499,23.064965674555367
1255,22.217650116594484,22.898707628704187,24.799894218411282,24.293737548473416,24.865344981091596,24.525326328086976,22.466589051265657,22.006940778360786,24.66410757593809,25.693250525129315,25.76548764327083,26.499063067002567,22.98870296137983,23.068658299584
1256,22.221089476854843,22.90230423260965,24.80322377307789,24.29740174578484,24.86884076789596,24.528959032849116,22.470648891537053,22.010568443385353,24.665093059956916,25.69675683527265,25.768944637080267,26.5025335384949,22.992494730204612,23.072350924612635
1257,22.2245288371152,22.905900836515173,24.806553327744496,24.301065943096205,24.87233655470027,24.532591737611256,22.47470873180839,22.014196108409976,24.666078543975743,25.700263145416045,25.77240163088976,26.506004009987294,22.996286499029395,23.076043549641213
1258,22.227968197375617,22.90949744042058,24.809882882411102,24.304730140407628,24.875832341504633,24.53622444237334,22.478768572079787,22.0178237734346,24.66706402799457,25.70376945555938,25.775858624699197,26.509474481479685,23.000078267854178,23.07973617466979
1259,22.231407557635976,22.913094044326044,24.813212437077766,24.308394337718994,24.87932812830894,24.53985714713548,22.482828412351125,22.021451438459223,24.668049512013454,25.707275765702775,25.779315618508633,26.512944952972077,23.003870036679018,23.083428799698424
1260,22.234846917896334,22.916690648231565,24.816541991744373,24.312058535030417,24.882823915113306,24.54348985189762,22.486888252622464,22.02507910348379,24.66903499603228,25.71078207584611,25.78277261231807,26.516415424464412,23.007661805503858,23.08712142472706
1261,22.23828627815675,22.92028725213703,24.819871546411036,24.315722732341783,24.886319701917614,24.547122556659758,22.490948092893802,22.028706768508414,24.670020480051107,25.714288385989448,25.786229606127563,26.519885895956804,23.01145357432864,23.090814049755636
1262,22.24172563841711,22.923883856042494,24.823201101077643,24.319386929653206,24.88981548872198,24.55075526142184,22.495007933165198,22.032334433533038,24.671005964069934,25.71779469613284,25.789686599937,26.523356367449196,23.015245343153424,23.09450667478427
1263,22.245164998677524,22.927480459947958,24.82653065574425,24.32305112696463,24.893311275526344,24.55438796618398,22.499067773436536,22.035962098557604,24.67199144808876,25.721301006276178,25.793143593746436,26.52682683894153,23.019037111978207,23.098199299812904
1264,22.248604358937826,22.931077063853422,24.829860210410914,24.326715324275995,24.89680706233065,24.55802067094612,22.50312761370793,22.039589763582228,24.672976932107588,25.724807316419515,25.796600587555872,26.530297310433923,23.022828880803047,23.101891924841482
1265,22.25204371919824,22.934673667758886,24.83318976507752,24.330379521587417,24.90030284913496,24.561653375708204,22.50718745397927,22.04321742860685,24.67396241612647,25.728313626562908,25.80005758136531,26.533767781926315,23.026620649627887,23.10558454987006
1266,22.2554830794586,22.93827027166435,24.836519319744127,24.334043718898783,24.903798635939324,24.5652860804704,22.511247294250666,22.046845093631475,24.6749479001453,25.731819936706245,25.803514575174745,26.537238253418707,23.03041241845267,23.109277174898693
1267,22.25892243971896,22.941866875569872,24.839848874410734,24.337707916210206,24.90729442274369,24.568918785232484,22.515307134522004,22.050472758656042,24.675933384164125,25.735326246849638,25.80697156898418,26.540708724911042,23.034204187277453,23.112969799927328
1268,22.262361799979374,22.94546347947528,24.843178429077398,24.341372113521572,24.910790209548054,24.572551489994623,22.519366974793343,22.054100423680666,24.676918868182952,25.738832556992975,25.810428562793618,26.544179196403434,23.037995956102236,23.116662424955962
1269,22.265801160239732,22.9490600833808,24.84650798374406,24.345036310832995,24.914285996352362,24.576184194756706,22.523426815064738,22.057728088705232,24.67790435220178,25.742338867136368,25.813885556603054,26.547649667895826,23.041787724927076,23.12035504998454
1270,22.269240520500148,22.952656687286265,24.849837538410668,24.348700508144418,24.91778178315667,24.579816899518903,22.527486655336077,22.061355753729913,24.678889836220606,25.745845177279705,25.817342550412548,26.55112013938816,23.045579493751916,23.124047675013117
1271,22.27267988076045,22.95625329119173,24.853167093077275,24.352364705455784,24.921277569961035,24.583449604280986,22.531546495607472,22.06498341875448,24.67987532023949,25.749351487423098,25.820799544221984,26.554590610880553,23.0493712625767,23.12774030004175
1272,22.276119241020865,22.959849895097193,24.85649664774388,24.356028902767207,24.9247733567654,24.587082309043126,22.535606335878754,22.068611083779103,24.680860804258316,25.752857797566435,25.82425653803142,26.558061082373,23.053163031401482,23.131432925070385
1273,22.279558601281224,22.963446499002657,24.859826202410545,24.359693100078516,24.928269143569764,24.590715013805266,22.53966617615015,22.072238748803727,24.681846288277143,25.756364107709828,25.827713531840857,26.561531553865336,23.056954800226265,23.135125550098962
1274,22.28299796154164,22.96704310290812,24.863155757077152,24.36335729738994,24.931764930374072,24.59434771856735,22.543726016421488,22.07586641382835,24.68283177229597,25.759870417853165,25.831170525650293,26.565002025357728,23.060746569051105,23.138818175127597
1275,22.286437321801998,22.970639706813586,24.86648531174376,24.367021494701362,24.93526071717838,24.59798042332949,22.547785856692883,22.079494078852917,24.683817256314796,25.763376727996558,25.83462751945973,26.56847249685012,23.064538337875888,23.14251080015623
1276,22.289876682062356,22.974236310719107,24.869814866410366,24.370685692012728,24.938756503982745,24.60161312809157,22.55184569696422,22.08312174387754,24.68480274033368,25.766883038139895,25.838084513269166,26.571942968342455,23.068330106700728,23.146203425184808
